ID,PAINTING,total_fixations,areas_of_interest,visits_to_final_area,isolated_fixations,area_duration_min,area_duration_max,area_duration_mean,area_duration_std,min_fixations_per_area,max_fixations_per_area,mean_fixations_per_area,std_fixations_per_area,last_series_duration,last_series_num_fixations,first_is_longest_duration,first_is_most_fixations,last_is_longest_duration,last_is_most_fixations,total_duration_fixations,fixation_duration_min,fixation_duration_max,fixation_duration_mean,fixation_duration_std,min_dilatation,max_dilatation,mean_dilatation,std_dilatation,instance_area_mean_dilatation_min,instance_area_mean_dilatation_max,instance_area_mean_dilatation_mean,instance_area_mean_dilatation_std,dilatation_range_min,dilatation_range_max,dilatation_range_mean,dilatation_range_std,is_max_dilatation_in_first_instance_area,is_max_dilatation_in_last_instance_area,returns_to_initial_area,times_returns_to_initial_area,n_area_changes_before_first_long_area,initial_instance_area_duration_ms,initial_instance_area_n_fixations,vote,RFLabel
277,1,5,2,2,2,2156,3080,2618.0,653.36666581637,2,3,2.5,0.7071067811865476,2156.0,2,False,False,False,False,5236,616,1540,1047.2,338.27459260192745,39.24159599245037,44.12033716969848,41.70556414540009,0.4687738257332416,40.245706546319575,42.99674021796474,41.6680793617299,1.3779089280865964,1.7593858106134306,2.081630275714467,1.8814462241695984,0.1747508252670226,False,True,True,1,2,2156.0,2,30,0.0
166,4,14,2,2,1,2926,7238,5082.0,3049.044440476393,4,10,7.0,4.242640687119285,7238.0,10,False,False,False,False,10164,616,924,726.0,107.69115383997246,48.8737678527832,53.80813980102539,51.312316229229886,0.2378069624188523,50.71189444859822,53.29710292816162,51.86846520900726,1.076435117452056,0.6402091979980469,4.552104949951172,2.077217102050781,1.7457239908882929,False,False,True,1,1,2926.0,4,46,1.0
193,1,10,2,2,0,2541,4928,3734.5,1687.863886692289,3,7,5.0,2.8284271247461903,4928.0,7,True,True,False,False,7469,616,1155,746.9,162.5330393762723,49.55629776110588,54.63536101798972,52.31223991193506,0.455381296828789,51.3241615987785,53.237866957413466,52.42202639117468,0.987532428845653,2.408860861723348,3.30099053771842,2.7862592021608705,0.4616482463513166,False,True,True,1,1,4928.0,7,36,0.0
85,11,10,3,3,2,2079,2849,2464.0,385.0,3,4,3.333333333333333,0.5773502691896258,2849.0,4,False,False,False,False,7392,616,924,739.2,103.94207788742514,58.64083480834961,63.67462921142578,61.81511241383023,0.266216980588535,60.60600681304931,63.12889404296875,62.074082822446464,1.0191991392392632,0.4354705810546875,2.998332977294922,1.575217437744142,1.0141047439374815,False,True,True,2,2,2849.0,4,41,0.0
2,1,5,2,1,1,847,4235,2541.0,2395.677774660023,1,4,2.5,2.1213203435596424,847.0,1,True,True,False,False,5082,616,1848,1016.4,479.0117952618704,46.275970458984375,51.726558685302734,48.43117820855343,0.6255282569037496,47.573765841397375,48.64553130034244,48.10964857086991,0.7578526238615685,1.5068893432617188,5.450588226318359,3.478738784790039,2.788616223167164,True,False,True,0,1,4235.0,4,24,0.0
77,6,7,2,2,2,616,4389,2502.5,2667.913885416844,1,6,3.5,3.5355339059327378,4389.0,6,False,False,True,True,5005,616,847,715.0,73.24160930327332,43.9073600769043,52.784461975097656,47.92408665440987,0.509491057635745,44.63500690460205,48.5719675853999,47.06024541308984,2.1215086431322305,0.8129463195800852,8.87710189819336,3.642822265625,4.538008276198441,False,True,True,1,3,4389.0,6,10,0.0
198,15,11,2,3,2,3080,5005,4042.5,1361.180553784104,4,7,5.5,2.1213203435596424,5005.0,7,False,False,False,False,8085,616,847,735.0,99.58714776516096,45.29851840042771,48.969106257703885,47.330838815079645,0.2947918241838315,45.898921604197234,48.01840658825205,47.1228514101912,0.7660903743602754,0.630512736640739,3.670587857276175,1.816212520942709,1.453836328591137,False,False,True,2,3,5005.0,7,32,0.0
206,22,11,2,3,2,1386,10164,5775.0,6206.9833252555145,2,9,5.5,4.949747468305833,10164.0,9,True,True,False,True,11550,616,2079,1050.0,489.7499361919305,49.77713622205177,57.30894779076235,53.97175265337693,0.8457081872079241,52.60973639162052,56.73689888578926,54.37902376945478,1.7530190077902474,0.9590936677899506,5.512133150155975,3.493703022891204,1.814876431429449,False,False,True,2,1,10164.0,9,27,0.0
170,4,13,2,2,1,2849,6391,4620.0,2504.572218962752,4,9,6.5,3.5355339059327378,6391.0,9,False,False,False,False,9240,616,847,710.7692307692307,77.98093126544234,35.6634407043457,44.23748779296875,39.54491949681636,0.4497493970620442,37.31528172348485,43.17642517089844,39.96828433825111,2.460456784172349,0.6515846252441406,7.731700897216797,3.3178768157958984,3.100355637792197,False,False,True,1,1,2849.0,4,40,1.0
147,10,7,2,2,1,3773,3927,3850.0,108.89444430272832,3,4,3.5,0.7071067811865476,3773.0,4,False,True,False,False,7700,616,2387,1100.0,626.6782800342347,41.18244934082031,48.17079925537109,43.36091912726653,0.5928912224710767,43.11453143755595,44.09235127766927,43.52345960513381,0.5081576055895992,1.0120697021484304,6.988349914550774,3.5573857625325496,3.0850057862100195,False,False,True,1,1,3773.0,4,41,0.0
2,20,7,2,2,1,2387,3619,3003.0,871.1555544218265,3,4,3.5,0.7071067811865476,3619.0,4,False,False,True,True,6006,616,1309,858.0,219.72482790982,36.06887435913086,52.13161849975586,44.95643958491711,1.0215583329992417,40.61324641283821,49.1434871673584,44.62175547808888,3.888023221553914,1.4255714416503906,14.45992660522461,6.698468208312988,5.9469984978526815,False,False,True,1,2,2387.0,3,16,0.0
