File,FixationDurCumulated,Duration,Score
S8_Q11.csv,8008,53669,0.1492109038737446
S193_Q20.csv,7546,50512,0.14939024390243902
S193_Q47.csv,7238,48356,0.14968152866242038
S204_Q10.csv,5544,36883,0.15031315240083507
S1_Q18.csv,5236,34804,0.1504424778761062
S376_Q23.csv,6237,41118,0.15168539325842698
S92_Q20.csv,6468,42581,0.1518987341772152
S410_Q4.csv,9163,59906,0.15295629820051415
S132_Q15.csv,4543,29568,0.15364583333333334
S7_Q9.csv,9394,61061,0.15384615384615385
S193_Q4.csv,8008,51898,0.1543026706231454
S92_Q22.csv,6314,40733,0.15500945179584122
S206_Q10.csv,9625,61677,0.1560549313358302
S6_Q23.csv,4312,27412,0.15730337078651685
S216_Q1.csv,7392,46816,0.15789473684210525
S277_Q15.csv,10241,64372,0.1590909090909091
S207_Q15.csv,9548,59444,0.16062176165803108
S7_Q23.csv,9548,58982,0.1618798955613577
S86_Q23.csv,7315,45122,0.1621160409556314
S198_Q22.csv,8085,49665,0.16279069767441862
S199_Q9.csv,5698,34804,0.16371681415929204
S30_Q23.csv,6853,41734,0.16420664206642066
S198_Q2.csv,4774,29029,0.16445623342175067
S278_Q10.csv,8393,50897,0.1649016641452345
S277_Q23.csv,13629,82544,0.16511194029850745
S204_Q9.csv,7700,46585,0.1652892561983471
S337_Q20.csv,9856,59444,0.16580310880829016
S277_Q18.csv,10395,62370,0.16666666666666666
S77_Q10.csv,4389,26334,0.16666666666666666
S376_Q6.csv,5005,30030,0.16666666666666666
S199_Q1.csv,4312,25872,0.16666666666666666
S211_Q20.csv,7623,45661,0.16694772344013492
S8_Q47.csv,9163,54670,0.1676056338028169
S204_Q4.csv,8008,47663,0.1680129240710824
S277_Q1.csv,5236,31108,0.16831683168316833
S166_Q4.csv,10164,60291,0.1685823754789272
S193_Q1.csv,7469,44198,0.16898954703832753
S85_Q11.csv,7392,43505,0.16991150442477876
S2_Q1.csv,5082,29876,0.17010309278350516
S77_Q6.csv,5005,29414,0.17015706806282724
S198_Q15.csv,8085,47278,0.17100977198697068
S206_Q22.csv,11550,67529,0.17103762827822122
S170_Q4.csv,9240,53669,0.17216642754662842
S147_Q10.csv,7700,44429,0.1733102253032929
S2_Q20.csv,6006,34188,0.17567567567567569
S199_Q4.csv,5082,28644,0.1774193548387097
S85_Q15.csv,8008,44583,0.17962003454231434
S295_Q4.csv,10164,56441,0.1800818553888131
S1_Q4.csv,7854,43505,0.18053097345132743
S175_Q10.csv,10934,60445,0.18089171974522292
S394_Q20.csv,9625,53053,0.18142235123367198
S8_Q13.csv,10241,56364,0.18169398907103826
S88_Q2.csv,6083,33418,0.18202764976958524
S376_Q21.csv,6930,37884,0.18292682926829268
S165_Q4.csv,11473,62678,0.18304668304668303
S28_Q20.csv,11088,60445,0.18343949044585986
S345_Q13.csv,4851,26334,0.18421052631578946
S119_Q15.csv,8470,45738,0.18518518518518517
S394_Q47.csv,10472,56210,0.1863013698630137
S7_Q4.csv,10703,57442,0.1863270777479893
S121_Q10.csv,9625,51436,0.18712574850299402
S207_Q20.csv,7777,41426,0.18773234200743494
S121_Q7.csv,10164,54054,0.18803418803418803
S198_Q11.csv,7084,37576,0.1885245901639344
S413_Q21.csv,16170,85624,0.18884892086330934
S8_Q21.csv,10857,57057,0.1902834008097166
S277_Q6.csv,10780,56518,0.1907356948228883
S28_Q18.csv,11627,60753,0.19138149556400508
S175_Q21.csv,9317,48664,0.19145569620253164
S28_Q22.csv,11473,59675,0.19225806451612903
S326_Q18.csv,3850,20020,0.19230769230769232
S193_Q21.csv,9394,48664,0.1930379746835443
S175_Q13.csv,12012,62216,0.19306930693069307
S193_Q14.csv,9625,49665,0.1937984496124031
S216_Q15.csv,8932,46046,0.1939799331103679
S371_Q1.csv,9317,47971,0.1942215088282504
S175_Q23.csv,10318,52976,0.19476744186046513
S54_Q18.csv,5159,26411,0.19533527696793002
S204_Q18.csv,7777,39809,0.195357833655706
S198_Q47.csv,7854,40194,0.19540229885057472
S345_Q20.csv,11473,58212,0.1970899470899471
S77_Q22.csv,4697,23716,0.19805194805194806
S170_Q11.csv,11935,60214,0.19820971867007672
S204_Q11.csv,9163,46200,0.19833333333333333
S184_Q15.csv,13937,69839,0.19955898566703417
S121_Q20.csv,10395,52052,0.1997041420118343
S174_Q20.csv,7315,36575,0.2
S175_Q4.csv,8162,40502,0.20152091254752852
S127_Q10.csv,13783,68299,0.20180383314543404
S7_Q47.csv,11858,58751,0.2018348623853211
S278_Q7.csv,10549,52052,0.20266272189349113
S278_Q23.csv,11011,53977,0.20399429386590584
S200_Q47.csv,10934,53284,0.20520231213872833
S85_Q6.csv,9240,44891,0.2058319039451115
S330_Q23.csv,11396,55363,0.20584144645340752
S2_Q14.csv,3773,18326,0.20588235294117646
S389_Q20.csv,12936,62832,0.20588235294117646
S197_Q9.csv,9548,46354,0.2059800664451827
S389_Q6.csv,13244,64218,0.20623501199040767
S110_Q20.csv,14553,70455,0.20655737704918034
S337_Q21.csv,12936,62447,0.20715166461159062
S211_Q15.csv,10780,51975,0.2074074074074074
