Feature,Min,Max,Mean,Std,Variance,Shapiro-Wilk Stat,Shapiro-Wilk p-value,Normality
total_fixations,4,100,32.244322631166796,14.136394827065322,199.83765870667918,0.9814593893296027,9.426259817153932e-18,Not Normal
areas_of_interest,2,8,2.836335160532498,1.2047672795385356,1.451464197846684,0.7248134059289413,5.743304601870518e-54,Not Normal
visits_to_final_area,1,18,4.687548942834769,2.4080964145375563,5.798928341708635,0.9199012126812268,7.826336041991233e-35,Not Normal
isolated_fixations,0,46,5.606499608457322,5.889953475320606,34.69155194144128,0.7733099987690877,1.1266492450856342e-50,Not Normal
area_duration_min,616,60060,9505.429913860611,10454.018090203379,109286494.23029949,0.7712615668064562,7.968444479802152e-51,Not Normal
area_duration_max,2079,123277,29216.585747846515,21342.130685012544,455486542.176154,0.8967214233426508,2.0291248155023518e-38,Not Normal
area_duration_mean,1886.5,61985.0,18820.887659879925,13680.838000911668,187165328.40718877,0.8944925520124527,9.946780619923148e-39,Not Normal
area_duration_std,0.0,86679.97766497174,12191.09056730016,13076.834545046117,171003601.7185115,0.7741866919918899,1.3077014042490653e-50,Not Normal
min_fixations_per_area,1,38,7.258809710258419,6.196100980816943,38.39166736448068,0.8555607421009079,1.9648489825923736e-43,Not Normal
max_fixations_per_area,2,68,18.691072826938136,9.890454760146104,97.82109536249675,0.9384640520870058,2.6270471740028386e-31,Not Normal
mean_fixations_per_area,2.0,50.0,12.757082727374428,7.033217709171489,49.466151344603446,0.9274832197113084,1.7648048035655816e-33,Not Normal
std_fixations_per_area,0.0,45.254833995939045,7.033848769498459,6.059688243324871,36.719821606289656,0.8372529822369308,2.7056610962707378e-45,Not Normal
last_series_duration,616.0,113729.0,23320.7795614722,20728.70552970655,429679232.9372868,0.854833904030401,1.643868230233018e-43,Not Normal
last_series_num_fixations,1,68,15.358261550509006,10.175606390083514,103.54296540590843,0.9255488654859207,7.784327519577842e-34,Not Normal
first_is_longest_duration,False,True,0.12372748629600626,0.32933487929836475,0.10846146272246847,0.38524039194805026,9.23502278522922e-69,Not Normal
first_is_most_fixations,False,True,0.15544244322631168,0.3623968983891362,0.13133151196206588,0.4341002426566686,3.756015611505243e-67,Not Normal
last_is_longest_duration,False,True,0.16327329678935004,0.3696872177257427,0.1366686389498007,0.4448852008546136,8.827725267705079e-67,Not Normal
last_is_most_fixations,False,True,0.16758026624902114,0.3735662740173471,0.13955176108320366,0.45062388192364566,1.3990514878694336e-66,Not Normal
